customer_name,customer_phone,product_name,quantity,unit_price,discount,paid_amount,sale_date
Rashed Uddin,01741514213,Teer Soyabean Oil 5L Bottle,2,945.0,10.0,1316.0,2025-05-05
Jannat Sarkar,01784870614,Cake Rusk 300g Pack,2,75.0,20.0,130.0,2025-05-05
Rahima Roy,01711470400,ACI Salt 1kg Pack,4,36.0,0.0,144.0,2025-05-05
Rahima Roy,01711470400,Clove (Lobongo) 25g Pack,5,118.0,0.0,590.0,2025-05-05
Fatema Hossain,01757271259,Pumpkin (Misti Kumra) Loose,2,42.0,20.0,64.0,2025-05-05
Sumaiya Hossain,01794969013,Teer Soyabean Oil 1L Bottle,6,189.0,0.0,1134.0,2025-05-05
Sumaiya Hossain,01794969013,ACI Vermicelli 500g Pack,3,135.0,0.0,405.0,2025-05-05
Sumaiya Hossain,01794969013,Radhuni Ghee 200g Jar,2,335.0,0.0,670.0,2025-05-05
Jabbar Sarkar,01741413978,Fresh Bread 400g Loaf,2,48.0,2.5,91.0,2025-05-05
Jabbar Sarkar,01741413978,Radhuni Turmeric Powder 100g Pack,5,75.0,2.5,370.0,2025-05-05
Mannan Ahmed,01717087735,Radhuni Cumin Powder 100g Pack,1,95.0,3.33,59.5,2025-05-05
Mannan Ahmed,01717087735,Radhuni Mustard Oil 5L Bottle,1,975.0,3.33,675.5,2025-05-05
Mannan Ahmed,01717087735,Pran Orange Juice 250ml Bottle,5,35.0,3.33,115.5,2025-05-05
Nasrin Begum,01731545867,Ginger Loose,4,220.0,0.0,880.0,2025-05-05
Karim Karim,01739230583,Indomie Noodles 5-Pack,3,102.0,20.0,286.0,2025-05-05
Mannan Mia,01795672874,Lays Chips 50g Pack,5,25.0,5.0,120.0,2025-05-05
Rahim Sarkar,01776683789,Lays Chips 50g Pack,3,25.0,2.5,70.0,2025-05-05
Rahim Sarkar,01776683789,Hilsa Fish Frozen,4,1250.0,2.5,4995.0,2025-05-05
Halim Ali,01756524028,Ispahani Tea 200g Pack,2,122.0,5.0,234.0,2025-05-05
Halim Ali,01756524028,Radhuni Biryani Masala 100g Pack,5,92.0,5.0,450.0,2025-05-05
Rahim Das,01797849777,Radhuni Biryani Masala 100g Pack,4,92.0,0.0,147.2,2025-05-05
Rahim Das,01797849777,Farm Fresh Eggs Brown (Dozen),6,155.0,0.0,372.0,2025-05-05
Shamima Khan,01775302980,RC Cola 250ml Bottle,5,23.0,0.0,115.0,2025-05-05
Shamima Khan,01775302980,Pran Mixed Pickles 400g Jar,1,165.0,0.0,165.0,2025-05-05
Jabbar Das,01748196696,Kurkure 85g Pack,2,32.0,5.0,54.0,2025-05-05
Jabbar Das,01748196696,Fresh Soyabean Oil 1L Bottle,1,185.0,5.0,175.0,2025-05-05
Mannan Ahmed,01717087735,ACI Pure Atta 2kg Pack,4,140.0,10.0,540.0,2025-05-05
Mannan Ahmed,01717087735,BD Salt 1kg Pack,6,35.0,10.0,190.0,2025-05-05
Jannat Sarkar,01784870614,Molasses (Gur) 500g,2,55.0,1.67,105.0,2025-05-05
Jannat Sarkar,01784870614,Radhuni BBQ Sauce 340g Bottle,6,135.0,1.67,805.0,2025-05-05
Jannat Sarkar,01784870614,Sugar Loose,3,86.0,1.67,253.0,2025-05-05
Mannan Mia,01795672874,Sugar Loose,2,86.0,0.0,68.8,2025-05-05
Mannan Mia,01795672874,Motor Dal (Peas) Loose,3,118.0,0.0,141.6,2025-05-05
Jannat Sarkar,01784870614,Coriander Leaves Loose,5,45.0,0.0,225.0,2025-05-05
Jannat Sarkar,01784870614,Sandwich Bread 350g Loaf,6,52.0,0.0,312.0,2025-05-05
Jannat Sarkar,01784870614,ACI Bombay Sweets 400g Pack,6,95.0,0.0,570.0,2025-05-05
Nipu Mia,01785685313,Pran Mango Juice 250ml Bottle,6,35.0,6.67,190.0,2025-05-05
Nipu Mia,01785685313,Coriander Leaves Loose,5,45.0,6.67,205.0,2025-05-05
Nipu Mia,01785685313,ACI Soy Sauce 250ml Bottle,4,85.0,6.67,320.0,2025-05-05
Nasrin Ahmed,01792087367,Pran Tomato Ketchup 340g Bottle,4,125.0,0.0,500.0,2025-05-05
Tasnia Hossain,01779574454,Tapal Tea 190g Pack,6,118.0,6.67,275.2,2025-05-05
Tasnia Hossain,01779574454,Radhuni Chili Powder 200g Pack,1,158.0,6.67,55.2,2025-05-05
Tasnia Hossain,01779574454,Suji (Semolina) 500g Pack,5,55.0,6.67,102.0,2025-05-05
Amina Sheikh,01742836459,Bay Leaf (Tej Pata) 20g Pack,5,55.0,10.0,265.0,2025-05-05
Shamima Khan,01775302980,Red Onion Loose,1,66.0,0.0,66.0,2025-05-05
Shamima Khan,01775302980,Coca Cola 1L Bottle,1,85.0,0.0,85.0,2025-05-05
Shakib Ahmed,01764598478,Lexus Biscuit 200g Pack,4,42.0,0.0,168.0,2025-05-05
Shakib Ahmed,01764598478,Pran Sugar 1kg Pack,1,88.0,0.0,88.0,2025-05-05
Jabbar Sarkar,01741413978,Miniket Rice 5kg Pack,3,390.0,2.5,1165.0,2025-05-05
Jabbar Sarkar,01741413978,Teer Atta 2kg Pack,3,144.0,2.5,427.0,2025-05-05
Tasnia Hossain,01779574454,Fennel Seeds (Mouri) 100g Pack,4,90.0,0.0,360.0,2025-05-05
Tasnia Hossain,01779574454,Pran Milk 1L Pack,1,108.0,0.0,108.0,2025-05-05
Rahim Sarkar,01776683789,Cumin Seeds (Jeera) 100g Pack,1,102.0,0.0,102.0,2025-05-05
Jabbar Rahman,01711619648,Pran Chanachur 200g Pack,3,45.0,0.0,54.0,2025-05-05
Jabbar Rahman,01711619648,Rupchanda Soyabean Oil 2L Bottle,5,378.0,0.0,756.0,2025-05-05
Rashed Begum,01791208886,ACI Soy Sauce 250ml Bottle,1,85.0,0.0,59.5,2025-05-05
Rashed Begum,01791208886,Country Eggs (Dozen),3,170.0,0.0,357.0,2025-05-05
Rashed Begum,01791208886,Radhuni Chili Sauce 340g Bottle,2,115.0,0.0,161.0,2025-05-05
Mannan Karim,01789670176,Fresh Toast Biscuit 300g Pack,6,65.0,0.0,390.0,2025-05-05
Mushfiq Akter,01758816061,Brown Sugar 500g Pack,2,75.0,0.0,150.0,2025-05-05
Karim Begum,01762527815,ACI Pure Dal Loose,1,155.0,2.5,150.0,2025-05-05
Karim Begum,01762527815,Tapal Tea 190g Pack,6,118.0,2.5,703.0,2025-05-05
Rashed Hossain,01732484555,Miniket Rice 5kg Pack,3,390.0,10.0,1160.0,2025-05-05
Nipu Mia,01785685313,RC Cola 250ml Bottle,2,23.0,10.0,26.0,2025-05-05
Nipu Mia,01785685313,Cornflour 200g Pack,4,48.0,10.0,172.0,2025-05-05
Shakib Ahmed,01764598478,Fresh Soyabean Oil 5L Bottle,2,925.0,5.0,1845.0,2025-05-05
Rashed Das,01729318518,Radhuni Cumin Powder 100g Pack,6,95.0,0.0,570.0,2025-05-05
Rashed Das,01729318518,ACI Bombay Sweets 200g Pack,4,48.0,0.0,192.0,2025-05-05
Rahima Sheikh,01782518935,Fresh Drinking Water 1L,2,20.0,20.0,20.0,2025-05-05
Jabbar Chowdhury,01746557544,Meizan Soyabean Oil 1L Bottle,4,188.0,1.67,747.0,2025-05-05
Jabbar Chowdhury,01746557544,Hilsa Fish Frozen,6,1250.0,1.67,7495.0,2025-05-05
Jabbar Chowdhury,01746557544,Shrimp (Chingri) Frozen,2,660.0,1.67,1315.0,2025-05-05
Jabbar Rahman,01711619648,Arla Butter 200g Pack,5,285.0,20.0,1405.0,2025-05-05
Rashed Begum,01791208886,Spinach (Pui Shak) Loose,3,38.0,2.5,109.0,2025-05-05
Rashed Begum,01791208886,ACI Pure Atta 5kg Pack,4,350.0,2.5,1395.0,2025-05-05
Tamim Begum,01720483208,Radhuni Mustard Oil 5L Bottle,6,975.0,0.0,5850.0,2025-05-05
Rashed Das,01729318518,Radhuni Meat Curry Masala 100g Pack,3,88.0,6.67,244.0,2025-05-05
Rashed Das,01729318518,Fresh Bread 400g Loaf,4,48.0,6.67,172.0,2025-05-05
Rashed Das,01729318518,Coca Cola 2L Bottle,2,155.0,6.67,290.0,2025-05-05
Rahim Das,01797849777,Sundarbans Honey 500g Bottle,3,580.0,5.0,1214.5,2025-05-05
Farzana Islam,01790359038,Pran Tomato Ketchup 340g Bottle,1,125.0,5.0,115.0,2025-05-05
Farzana Islam,01790359038,Carrot Loose,5,62.0,5.0,300.0,2025-05-05
Rashed Begum,01791208886,Molasses (Gur) 500g,1,55.0,20.0,35.0,2025-05-05
Tasnia Hossain,01779574454,Pran Ghee 200g Jar,5,340.0,0.0,1700.0,2025-05-05
Mannan Ahmed,01717087735,Farm Fresh Eggs White (Dozen),5,141.0,0.0,282.0,2025-05-05
Mannan Karim,01789670176,Potato Loose,6,41.0,0.0,246.0,2025-05-05
Mannan Karim,01789670176,Pran Mixed Pickles 400g Jar,1,165.0,0.0,165.0,2025-05-05
Rashed Uddin,01741514213,Anchor Butter 227g Pack,4,315.0,10.0,1240.0,2025-05-05
Rashed Uddin,01741514213,7UP 250ml Bottle,5,25.0,10.0,105.0,2025-05-05
Sultana Rahman,01786554926,Pran Mango Pickles 400g Jar,2,158.0,0.0,316.0,2025-05-05
Sultana Rahman,01786554926,Radhuni Turmeric Powder 200g Pack,1,148.0,0.0,148.0,2025-05-05
